id,state,county,rate
17191,Illinois,Wayne County,1.5
17193,Illinois,White County,1.5
17195,Illinois,Whiteside County,1.5
17197,Illinois,Will County,1.5
17199,Illinois,Williamson County,1.5
17201,Illinois,Winnebago County,1.5
17203,Illinois,Woodford County,1.5
18001,Indiana,Adams County,1.5
18003,Indiana,Allen County,1.5
18005,Indiana,Bartholomew County,1.5
18007,Indiana,Benton County,1.5
18009,Indiana,Blackford County,1.5
46071,Indiana,Boone County,5
18013,Indiana,Brown County,1.5
18015,Indiana,Carroll County,1.5
18017,Indiana,Cass County,1.5
18019,Indiana,Clark County,1.5
18021,Indiana,Clay County,1.5
18023,Indiana,Clinton County,1.5
18025,Indiana,Crawford County,1.5
18027,Indiana,Daviess County,1.5
18029,Indiana,Dearborn County,1.5
18031,Indiana,Decatur County,1.5
18033,Indiana,DeKalb County,1.5
47306,Indiana,Delaware County,2
47521,Indiana,Dubois County,2
18039,Indiana,Elkhart County,1.5
18041,Indiana,Fayette County,1.5
18043,Indiana,Floyd County,1.5
18045,Indiana,Fountain County,1.5
18047,Indiana,Franklin County,1.5
18049,Indiana,Fulton County,1.5
18051,Indiana,Gibson County,1.5
18053,Indiana,Grant County,1.5
18055,Indiana,Greene County,1.5
18057,Indiana,Hamilton County,1.5
18059,Indiana,Hancock County,1.5
18061,Indiana,Harrison County,1.5
18063,Indiana,Hendricks County,1.5
18065,Indiana,Henry County,1.5
18067,Indiana,Howard County,1.5
18069,Indiana,Huntington County,1.5
18071,Indiana,Jackson County,1.5
18073,Indiana,Jasper County,1.5
18075,Indiana,Jay County,1.5
18077,Indiana,Jefferson County,1.5
18079,Indiana,Jennings County,1.5
18081,Indiana,Johnson County,1.5
18083,Indiana,Knox County,1.5
18085,Indiana,Kosciusko County,1.5
18087,Indiana,LaGrange County,1.5
18089,Indiana,Lake County,1.5
18091,Indiana,LaPorte County,1.5
18093,Indiana,Lawrence County,1.5
18095,Indiana,Madison County,1.5
46202,Indiana,Marion County,12
18099,Indiana,Marshall County,1.5
18101,Indiana,Martin County,1.5
18103,Indiana,Miami County,1.5
47401,Indiana,Monroe County,7
18107,Indiana,Montgomery County,1.5
18109,Indiana,Morgan County,1.5
18111,Indiana,Newton County,1.5
18113,Indiana,Noble County,1.5
18115,Indiana,Ohio County,1.5
18117,Indiana,Orange County,1.5
18119,Indiana,Owen County,1.5
18121,Indiana,Parke County,1.5
18123,Indiana,Perry County,1.5
18125,Indiana,Pike County,1.5
18127,Indiana,Porter County,1.5
18129,Indiana,Posey County,1.5
18131,Indiana,Pulaski County,1.5
18133,Indiana,Putnam County,1.5
18135,Indiana,Randolph County,1.5
47023,Indiana,Ripley County,2
18139,Indiana,Rush County,1.5
18141,Indiana,St. Joseph County,1.5
18143,Indiana,Scott County,1.5
18145,Indiana,Shelby County,1.5
18147,Indiana,Spencer County,1.5
18149,Indiana,Starke County,1.5
18151,Indiana,Steuben County,1.5
18153,Indiana,Sullivan County,1.5
47011,Indiana,Switzerland County,2
47906,Indiana,Tippecanoe County,9
18159,Indiana,Tipton County,1.5
18161,Indiana,Union County,1.5
18163,Indiana,Vanderburgh County,1.5
18165,Indiana,Vermillion County,1.5
18167,Indiana,Vigo County,1.5
46980,Indiana,Wabash County,7
18171,Indiana,Warren County,1.5
18173,Indiana,Warrick County,1.5
18175,Indiana,Washington County,1.5
18177,Indiana,Wayne County,1.5
